Year,Harvested,Production,Price
2020,579,1770,1325.99
2019,711,3200,1419.69
2018,711,2280,1486.84
2017,683,2010,1479.1
2016,696,2010,1375.62
2015,900,1710,1300
2014,900,1960,1391.33
2013,910,2460,1388.21
2012,910,2275,1236.92
2011,900,2160,1350
2010,800,2400,1300
2009,800,2800,1200
2008,600,1170,1100
2007,650,1625,1100.31
2006,600,1560,1062.18
2005,500,1300,1200
2004,500,1200,1050
2003,480,900,1000
2002,470,1360,971
2001,470,1280,1200
2000,470,1690,1000
1999,320,1240,1140
1998,320,1320,900
1997,260,1130,1010
1996,260,1170,945
1995,260,860,560
1994,260,650,600
1993,260,625,580
1992,260,550,612
1991,230,600,525
1990,150,360,550
1989,150,350,629
1988,150,420,521
1987,135,300,400
1986,135,300,340
1984,77,100,420
1983,77,160,400
1982,77,140,400
1981,57,50,450
1980,50,40,440
